task_uid,grade,theme_id,level,quality_status
V2-7b68d39020e2,5,T022,1,RECHECK
V2-b28f5f9a9d73,5,T022,1,RECHECK
V2-7adc03e5a061,5,T022,1,RECHECK
V2-1b63ab7ac462,5,T022,1,RECHECK
V2-3b39d5bbc35c,5,T022,1,RECHECK
V2-6075f0aba827,5,T002,2,RECHECK
V2-05ee13b54c60,5,T002,2,RECHECK
V2-66f342b290b0,5,T002,2,RECHECK
V2-9a8ad5efe2e7,5,T002,2,RECHECK
V2-1fb1aa4a71e2,5,T002,2,RECHECK
V2-22dfed7dbc3c,5,T002,1,RECHECK
V2-b2ebe602e0c6,5,T002,1,RECHECK
V2-d784c62cba6a,5,T002,1,RECHECK
V2-54438bb7a798,5,T002,1,RECHECK
V2-55e39feed6d6,5,T002,1,RECHECK
V2-8819203b1933,5,T002,3,RECHECK
V2-2d5a00ebe963,5,T002,3,RECHECK
V2-df0b0c1df5fc,5,T002,3,RECHECK
V2-32adf34f848c,5,T002,3,RECHECK
V2-e91d2dfcc201,5,T002,3,RECHECK
V2-eddc0400e70d,5,T008,1,RECHECK
V2-18df3c276e9b,5,T008,1,RECHECK
V2-ef3af7e6297c,5,T008,1,RECHECK
V2-4b0e94952bfe,5,T008,1,RECHECK
V2-84c717ad8df5,5,T008,1,RECHECK
V2-69857211f95a,5,T004,1,RECHECK
V2-49bd80ff2679,5,T004,1,RECHECK
V2-183d070ee4a5,5,T004,1,RECHECK
V2-fe459aa04418,5,T004,1,RECHECK
V2-7f93e6561e7b,5,T004,1,RECHECK
V2-8f328066dd8b,5,T022,2,RECHECK
V2-7f138422028c,5,T022,2,RECHECK
V2-df70201a89ac,5,T022,2,RECHECK
V2-6783e1cb4d5f,5,T022,2,RECHECK
V2-03e7022f76cc,5,T022,2,RECHECK
V2-89ef6dba68eb,5,T008,2,RECHECK
V2-d8a08acca6be,5,T008,2,RECHECK
V2-f082d19e8924,5,T008,2,RECHECK
V2-7e7a279eebf1,5,T008,2,RECHECK
V2-a7043515e23f,5,T008,2,RECHECK
V2-230defdd6d0f,5,T004,2,RECHECK
V2-0c7634ea2aa8,5,T004,2,RECHECK
V2-9d901707c171,5,T004,2,RECHECK
V2-3733f3659370,5,T004,2,RECHECK
V2-f69fd5725676,5,T004,2,RECHECK
V2-f02c94114c6d,5,T024,1,RECHECK
